11 	 0 	 0 	 0 	 2 	 2 	 0 	 2 	 2 	 0 	 0.022448
9 	 0 	 0 	 0 	 2 	 1 	 1 	 2 	 1 	 1 	 0.022448
8 	 0 	 0 	 0 	 2 	 0 	 2 	 2 	 0 	 2 	 0.022448
149 	 1 	 1 	 0 	 1 	 2 	 3 	 0 	 3 	 3 	 -0.021513
158 	 1 	 1 	 0 	 2 	 1 	 3 	 3 	 0 	 3 	 -0.021513
408 	 2 	 0 	 2 	 1 	 0 	 1 	 1 	 0 	 1 	 0.020078
622 	 2 	 2 	 0 	 1 	 1 	 0 	 1 	 1 	 0 	 0.020078
50 	 0 	 2 	 2 	 0 	 1 	 1 	 0 	 1 	 1 	 0.020078
661 	 2 	 2 	 0 	 2 	 2 	 4 	 4 	 0 	 4 	 0.019999
658 	 2 	 2 	 0 	 2 	 2 	 4 	 0 	 4 	 4 	 0.019999
127 	 1 	 0 	 1 	 2 	 2 	 2 	 1 	 2 	 1 	 0.019798
162 	 1 	 1 	 0 	 2 	 2 	 2 	 1 	 1 	 2 	 0.019798
42 	 0 	 1 	 1 	 2 	 2 	 2 	 2 	 1 	 1 	 0.019798
335 	 1 	 2 	 3 	 1 	 2 	 1 	 2 	 0 	 2 	 -0.019795
567 	 2 	 1 	 3 	 2 	 1 	 1 	 0 	 2 	 2 	 -0.019795
792 	 2 	 2 	 4 	 1 	 1 	 2 	 1 	 1 	 2 	 0.019318
35 	 0 	 1 	 1 	 2 	 1 	 1 	 2 	 2 	 0 	 -0.019048
111 	 1 	 0 	 1 	 1 	 2 	 1 	 0 	 2 	 2 	 -0.019048
112 	 1 	 0 	 1 	 1 	 2 	 1 	 2 	 2 	 0 	 -0.019048
34 	 0 	 1 	 1 	 2 	 1 	 1 	 2 	 0 	 2 	 -0.019048
144 	 1 	 1 	 0 	 1 	 1 	 2 	 2 	 0 	 2 	 -0.019048
143 	 1 	 1 	 0 	 1 	 1 	 2 	 0 	 2 	 2 	 -0.019048
170 	 1 	 1 	 2 	 0 	 1 	 1 	 1 	 0 	 1 	 0.018329
463 	 2 	 1 	 1 	 1 	 1 	 0 	 1 	 0 	 1 	 0.018329
177 	 1 	 1 	 2 	 1 	 0 	 1 	 0 	 1 	 1 	 0.018329
241 	 1 	 2 	 1 	 0 	 1 	 1 	 1 	 1 	 0 	 0.018329
251 	 1 	 2 	 1 	 1 	 1 	 0 	 0 	 1 	 1 	 0.018329
460 	 2 	 1 	 1 	 1 	 0 	 1 	 1 	 1 	 0 	 0.018329
267 	 1 	 2 	 1 	 1 	 2 	 3 	 0 	 4 	 4 	 -0.017887
499 	 2 	 1 	 1 	 2 	 1 	 3 	 4 	 0 	 4 	 -0.017887
167 	 1 	 1 	 0 	 2 	 2 	 4 	 3 	 1 	 4 	 -0.017565
166 	 1 	 1 	 0 	 2 	 2 	 4 	 1 	 3 	 4 	 -0.017565
382 	 1 	 2 	 3 	 2 	 2 	 2 	 3 	 0 	 3 	 -0.017385
590 	 2 	 1 	 3 	 2 	 2 	 2 	 0 	 3 	 3 	 -0.017385
762 	 2 	 2 	 2 	 2 	 2 	 4 	 0 	 4 	 4 	 -0.017074
769 	 2 	 2 	 2 	 2 	 2 	 4 	 4 	 0 	 4 	 -0.017074
191 	 1 	 1 	 2 	 1 	 2 	 1 	 2 	 1 	 1 	 0.016863
278 	 1 	 2 	 1 	 2 	 1 	 1 	 1 	 1 	 2 	 0.016863
473 	 2 	 1 	 1 	 1 	 2 	 1 	 1 	 1 	 2 	 0.016863
256 	 1 	 2 	 1 	 1 	 1 	 2 	 2 	 1 	 1 	 0.016863
207 	 1 	 1 	 2 	 2 	 1 	 1 	 1 	 2 	 1 	 0.016863
